order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
240,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d4097a0-0241-0133-525e-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d4097a0-0241-0133-525e-58d385a7b928.left.jpg,5d4097a0-0241-0133-525e-58d385a7b928,http://digitalcollections.nypl.org/items/5d4097a0-0241-0133-525e-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.0279765,1356.83,2012,0,0,1356.83,2012
240,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d4097a0-0241-0133-525e-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d4097a0-0241-0133-525e-58d385a7b928.right.jpg,5d4097a0-0241-0133-525e-58d385a7b928,http://digitalcollections.nypl.org/items/5d4097a0-0241-0133-525e-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.0279765,1356.83,2012,1203.17,0,1356.83,2012
241,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d4a7be0-0241-0133-99bf-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d4a7be0-0241-0133-99bf-58d385a7b928.left.jpg,5d4a7be0-0241-0133-99bf-58d385a7b928,http://digitalcollections.nypl.org/items/5d4a7be0-0241-0133-99bf-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.139882,1358.95,2011,0,0,1358.95,2011
241,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d4a7be0-0241-0133-99bf-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d4a7be0-0241-0133-99bf-58d385a7b928.right.jpg,5d4a7be0-0241-0133-99bf-58d385a7b928,http://digitalcollections.nypl.org/items/5d4a7be0-0241-0133-99bf-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.139882,1358.95,2011,1205.05,0,1358.95,2011
242,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d540eb0-0241-0133-60ac-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d540eb0-0241-0133-60ac-58d385a7b928.left.jpg,5d540eb0-0241-0133-60ac-58d385a7b928,http://digitalcollections.nypl.org/items/5d540eb0-0241-0133-60ac-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,-0.251786,1361.07,2027,0,0,1361.07,2027
242,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d540eb0-0241-0133-60ac-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d540eb0-0241-0133-60ac-58d385a7b928.right.jpg,5d540eb0-0241-0133-60ac-58d385a7b928,http://digitalcollections.nypl.org/items/5d540eb0-0241-0133-60ac-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,-0.251786,1361.07,2027,1206.93,0,1361.07,2027
243,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d5da8d0-0241-0133-0af0-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d5da8d0-0241-0133-0af0-58d385a7b928.left.jpg,5d5da8d0-0241-0133-0af0-58d385a7b928,http://digitalcollections.nypl.org/items/5d5da8d0-0241-0133-0af0-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.839234,1372.73,2043,0,0,1372.73,2043
243,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d5da8d0-0241-0133-0af0-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d5da8d0-0241-0133-0af0-58d385a7b928.right.jpg,5d5da8d0-0241-0133-0af0-58d385a7b928,http://digitalcollections.nypl.org/items/5d5da8d0-0241-0133-0af0-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.839234,1372.73,2043,1217.27,0,1372.73,2043
244,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d67ac50-0241-0133-b823-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d67ac50-0241-0133-b823-58d385a7b928.left.jpg,5d67ac50-0241-0133-b823-58d385a7b928,http://digitalcollections.nypl.org/items/5d67ac50-0241-0133-b823-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,1.23077,1380.15,2118,0,0,1380.15,2118
244,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d67ac50-0241-0133-b823-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d67ac50-0241-0133-b823-58d385a7b928.right.jpg,5d67ac50-0241-0133-b823-58d385a7b928,http://digitalcollections.nypl.org/items/5d67ac50-0241-0133-b823-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,1.23077,1380.15,2118,1223.85,0,1380.15,2118
245,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d717520-0241-0133-bae0-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d717520-0241-0133-bae0-58d385a7b928.left.jpg,5d717520-0241-0133-bae0-58d385a7b928,http://digitalcollections.nypl.org/items/5d717520-0241-0133-bae0-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.783292,1371.67,2075,0,0,1371.67,2075
245,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d717520-0241-0133-bae0-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d717520-0241-0133-bae0-58d385a7b928.right.jpg,5d717520-0241-0133-bae0-58d385a7b928,http://digitalcollections.nypl.org/items/5d717520-0241-0133-bae0-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.783292,1371.67,2075,1216.33,0,1371.67,2075
246,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d7b49b0-0241-0133-8184-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d7b49b0-0241-0133-8184-58d385a7b928.left.jpg,5d7b49b0-0241-0133-8184-58d385a7b928,http://digitalcollections.nypl.org/items/5d7b49b0-0241-0133-8184-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,1.09095,1376.97,2089,0,0,1376.97,2089
246,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d7b49b0-0241-0133-8184-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d7b49b0-0241-0133-8184-58d385a7b928.right.jpg,5d7b49b0-0241-0133-8184-58d385a7b928,http://digitalcollections.nypl.org/items/5d7b49b0-0241-0133-8184-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,1.09095,1376.97,2089,1221.03,0,1376.97,2089
247,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d84e670-0241-0133-755a-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d84e670-0241-0133-755a-58d385a7b928.left.jpg,5d84e670-0241-0133-755a-58d385a7b928,http://digitalcollections.nypl.org/items/5d84e670-0241-0133-755a-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.867204,1373.76,2071,0,0,1373.76,2071
247,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d84e670-0241-0133-755a-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d84e670-0241-0133-755a-58d385a7b928.right.jpg,5d84e670-0241-0133-755a-58d385a7b928,http://digitalcollections.nypl.org/items/5d84e670-0241-0133-755a-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.867204,1373.76,2071,1218.24,0,1373.76,2071
248,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d8ebbc0-0241-0133-ee8b-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d8ebbc0-0241-0133-ee8b-58d385a7b928.left.jpg,5d8ebbc0-0241-0133-ee8b-58d385a7b928,http://digitalcollections.nypl.org/items/5d8ebbc0-0241-0133-ee8b-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.615458,1368.49,2061,0,0,1368.49,2061
248,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d8ebbc0-0241-0133-ee8b-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d8ebbc0-0241-0133-ee8b-58d385a7b928.right.jpg,5d8ebbc0-0241-0133-ee8b-58d385a7b928,http://digitalcollections.nypl.org/items/5d8ebbc0-0241-0133-ee8b-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.615458,1368.49,2061,1213.51,0,1368.49,2061
249,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d98a810-0241-0133-5fbb-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d98a810-0241-0133-5fbb-58d385a7b928.left.jpg,5d98a810-0241-0133-5fbb-58d385a7b928,http://digitalcollections.nypl.org/items/5d98a810-0241-0133-5fbb-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.867204,1373.76,2066,0,0,1373.76,2066
249,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5d98a810-0241-0133-5fbb-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5d98a810-0241-0133-5fbb-58d385a7b928.right.jpg,5d98a810-0241-0133-5fbb-58d385a7b928,http://digitalcollections.nypl.org/items/5d98a810-0241-0133-5fbb-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.867204,1373.76,2066,1218.24,0,1373.76,2066
250,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5da2e560-0241-0133-cf8f-58d385a7b928.left.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5da2e560-0241-0133-cf8f-58d385a7b928.left.jpg,5da2e560-0241-0133-cf8f-58d385a7b928,http://digitalcollections.nypl.org/items/5da2e560-0241-0133-cf8f-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.923143,1374.82,2068,0,0,1374.82,2068
250,https://s3.amazonaws.com/scribe.nypl.org/emigrant/full/5da2e560-0241-0133-cf8f-58d385a7b928.right.jpg,https://s3.amazonaws.com/scribe.nypl.org/emigrant/thumb/5da2e560-0241-0133-cf8f-58d385a7b928.right.jpg,5da2e560-0241-0133-cf8f-58d385a7b928,http://digitalcollections.nypl.org/items/5da2e560-0241-0133-cf8f-58d385a7b928,http://digitalcollections.nypl.org/items/5bb969d0-0241-0133-f196-58d385a7b928,0.923143,1374.82,2068,1219.18,0,1374.82,2068
