order,file_path,thumbnail,width,height,date_created
39,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0039.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0039_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
40,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0040.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0040_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
41,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0041.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0041_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
42,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0042.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0042_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
43,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0043.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0043_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
44,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0044.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0044_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
45,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0045.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0045_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
46,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0046.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0046_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
47,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0047.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0047_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
48,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0048.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0048_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
49,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0049.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0049_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
50,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0050.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0050_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
51,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0051.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0051_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
52,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0052.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0052_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
53,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0053.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0053_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
54,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0054.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0054_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
55,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0055.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0055_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
56,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0056.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0056_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
57,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0057.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0057_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
58,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0058.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0058_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
59,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0059.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0059_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
60,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0060.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0060_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
61,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0061.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0061_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
62,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0062.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0062_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
63,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0063.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0063_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
64,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0064.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0064_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
65,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0065.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0065_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
66,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0066.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0066_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
67,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0067.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0067_thumb.jpg,2894,4563,Tue Sep 22 09:59:46 CDT 2015
68,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0068.jpg,http://whaling-data.oldweather.org/subjects/logbookofbetseyw00unse_0068_thumb.jpg,2870,4562,Tue Sep 22 09:59:46 CDT 2015
